Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
41,Anthony Brooks,Tricia Salas,10,Other,Todd Mercer,Monica Cruz,94,Maria Rogers,Current,11.519512716592656,Alicia Best,William Ramos,91,Kelli Chavez,Thomas Roman,29.403474844274193,48.54086502146698,64,93,24.56356749715775,Car,45.26729372313654,17,Rick King,Dennis Williams,24,Debit,82.71900113207275,82.23532333007088,28.667147014776454,Robert Kelly,Dr. Gregory Pollard,24,16,Deborah Morrison,Complaint,Pending,Amber Mcgee,30
48,Lee Haas,Tina Malone,55,Female,David Garcia,Tammy Reyes,96,Dave Johnston,Savings,82.37733746325853,Timothy Davis,James Cook,29,Jessica Cline,Kimberly Frye,36.15282614132082,30.81746326600867,73,35,8.436131413377016,Home,12.67297250424846,9,Alexander Jones,Patricia Bates,65,Credit,13.139744986184436,71.63427746511032,81.66806011928512,Mary Brown,Crystal Johnson DVM,38,31,Cheryl Oliver,Complaint,Resolved,Michael Powell,28
93,Jonathan Robertson,Lori Davis,20,Other,Mackenzie Brown,Justin Bishop,48,Robin Jones,Savings,97.45773156103343,Chad Green,Mrs. Melissa Miles,54,Holly Dixon,Michael Hernandez,16.10769850793892,40.10387305401833,58,56,88.43210346849192,Home,69.64207091973016,72,Lisa Barton,Joanna Knight,22,Credit,71.69857984175609,35.5855829009812,99.39364858371071,Daniel Mitchell,Megan Hodges,38,19,Angie Rogers,Complaint,Pending,Michelle Thomas,89
30,Kara Smith,Amanda Ray,66,Female,Edwin Higgins,Zachary Harper,29,David Johnson,Credit,13.526050571901742,Jonathan Nelson,Sarah Mccullough,43,Candace Smith,Sara Horn,87.8422951483934,94.11759208192828,41,31,57.98883858008373,Car,36.35193425668698,35,William Salazar,Karen Huff,44,Credit,52.29727134626235,47.28468031035301,55.84066512284934,Brittany Smith,Peter Harrington,76,15,Noah Strong,Suggestion,Rejected,James Holder,52
31,Tyler Wood,David Dudley,43,Other,George White,Maria Patel,95,Juan Mckee,Savings,43.23766577754878,Emily Rush,Michelle Jenkins,42,Michael Sanders,Kathy Olsen,8.347344179854101,52.73801716853108,64,64,54.7743970198454,Personal,71.25514698759916,54,Ryan Carter,Kayla Stein,9,Gold,39.44874196359677,82.85196498384491,25.137848740328852,Peggy Johnson,Lawrence Hartman,60,22,Debra May,Suggestion,Resolved,Jason Wolf,39
25,Diana Roberts,Michael Caldwell,70,Male,David Hughes,Brittany Durham,30,Robert Davidson,Credit,40.46908655616138,Aaron Welch,Eileen Lewis,32,John Lewis,Bruce Garcia,41.13825413322838,79.33573968018119,62,96,23.26103377460323,Personal,73.76221996113975,2,Teresa Little,Katherine Johnson,47,Debit,70.32666729906434,74.36042298700204,58.76794200693882,Jason Smith MD,Kristen Perez,77,39,Luke Aguirre,Praise,Resolved,Joshua Woods,50
2,Shane Clark,Amanda Ayala,52,Other,Cameron Peterson,Steven Kelley,93,Laura Joseph,Savings,25.9638764585578,Ashley Perry,Diana Davis,10,Craig Schroeder,Kevin Love,60.60673101499402,59.81606647195116,1,2,18.606590556635677,Home,2.18413004825715,61,Chase Coleman,Kayla Wright,87,Debit,89.68696398009106,50.595833692564895,18.02688186493234,Holly Arellano,Traci Reilly,75,50,Paul Velazquez,Complaint,Pending,Curtis Casey,39
14,Leslie Wall,Patrick Larson,12,Other,Timothy Banks,Nicholas Bell,1,Scott Walker,Credit,99.39992885141456,Joseph Rios,Jerry Ballard,78,Betty Walters,James Berry,78.71347082442843,5.852824211541235,12,95,21.038380622150985,Personal,40.3286244253718,10,Christopher Hart,Margaret Warren,81,Gold,19.99727423366724,94.9881507103858,2.0629998030569836,Rodney Gill,Colleen Aguirre,54,25,Jared Luna,Complaint,Pending,Matthew Brown,15
18,Michelle Hickman,Thomas Sharp,50,Female,Sara Bradley,Alexander Mendoza,87,Miguel Velez,Savings,44.31318712965211,Tonya Blackwell,Stephanie Thomas,98,David Hendrix,Monica Armstrong,84.12427544855315,46.6480807195401,52,51,51.93288175403268,Car,92.16606660791126,67,Thomas Lewis,Anna Herrera,13,Debit,57.37075875194569,20.539933689437635,33.91915690423749,Shawn Rogers,Julie Chambers,81,93,Nicole Crawford,Praise,Pending,Theresa Hudson,72
38,Daniel Wiley,Tammy Raymond,60,Male,Louis Wilson,Robert Rivera,47,Thomas Johnson,Credit,56.723251798851784,Patricia Smith,Traci Hernandez,49,Kevin Reed,Angela Holt,12.960468834704942,78.68758875808152,83,96,72.060868123532,Car,37.126223625422774,7,Allen Thomas,Dakota Sharp,48,Gold,17.773995776487986,59.95006495333439,41.52318000372434,Natasha Norton,Tammy Hernandez,96,97,Kara Hoffman,Praise,Resolved,Adam Camacho,31
