Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
1501,Kevin,Jackson,50,Female,Address_1502,Kansas City,19458796355,kevin.jackson@kag.com,Current,9011.73,1/30/2003,1/29/2023,1502,10/18/2023,Transfer,144.47,8867.26,94,1502,29149.52,Mortgage,1.77,12,10/8/2020,Closed,1502,MasterCard,2028.39,184.48,9.22,10/25/2023,5/1/2023,1670,1502,4/26/2023,Complaint,Pending,1/9/2023,1
1502,Jennifer,Johnson,29,Other,Address_1503,Las Vegas,19458797440,jennifer.johnson@kag.com,Current,3307.4,3/23/2019,8/25/2023,1503,6/26/2023,Transfer,3202.17,6509.57,87,1503,48965.54,Mortgage,8.96,36,7/2/2022,Rejected,1503,MasterCard,9887.55,1190.98,59.55,7/9/2023,12/8/2023,9575,1503,4/13/2023,Praise,Pending,9/10/2023,1
1503,Emily,Williams,69,Female,Address_1504,El Paso,19458797507,emily.williams@kag.com,Current,6006.41,11/22/2002,9/30/2023,1504,10/23/2023,Withdrawal,1504.35,7510.76,47,1504,12395.31,Mortgage,5.88,12,8/2/2021,Approved,1504,Visa,9037.57,4727.44,236.37,3/25/2023,4/4/2023,6357,1504,9/5/2023,Praise,Resolved,3/3/2023,1
1504,Margaret,Taylor,59,Female,Address_1505,New York,19458795909,margaret.taylor@kag.com,Savings,4273.03,10/25/2020,1/4/2023,1505,5/19/2023,Withdrawal,2202.17,2070.86,11,1505,39389.58,Mortgage,1.26,36,11/19/2020,Closed,1505,MasterCard,4534.66,4566.86,228.34,2/27/2023,8/22/2023,9077,1505,11/26/2023,Suggestion,Resolved,6/6/2023,1
1505,Brian,Allen,20,Female,Address_1506,Boston,19458795559,brian.allen@kag.com,Savings,506.61,10/20/2016,8/28/2023,1506,3/26/2023,Withdrawal,4178.6,-3671.99,96,1506,37624.25,Personal,7.0,60,2/9/2021,Rejected,1506,Visa,7685.19,1671.1,83.56,2/15/2023,2/1/2023,2051,1506,2/22/2023,Complaint,Resolved,3/1/2023,1
1506,William,Robinson,61,Female,Address_1507,Colorado Springs,19458794960,william.robinson@kag.com,Savings,3898.95,12/3/2021,12/22/2023,1507,6/22/2023,Withdrawal,259.59,3639.36,8,1507,8304.48,Personal,5.97,48,12/3/2022,Closed,1507,MasterCard,8157.08,4576.73,228.84,7/21/2023,4/19/2023,7527,1507,2/27/2023,Complaint,Pending,2/11/2023,1
1507,Paul,Hall,19,Female,Address_1508,Houston,19458795443,paul.hall@kag.com,Current,6639.78,12/3/2009,6/7/2023,1508,4/13/2023,Withdrawal,1778.33,4861.45,90,1508,21072.79,Mortgage,8.72,48,4/6/2020,Approved,1508,MasterCard,1010.17,4773.75,238.69,6/4/2023,10/22/2023,1606,1508,6/22/2023,Praise,Resolved,11/7/2023,1
1508,Ronald,Miller,63,Male,Address_1509,Omaha,19458797322,ronald.miller@kag.com,Current,5291.63,8/31/2003,3/26/2023,1509,3/24/2023,Transfer,1416.38,6708.01,15,1509,4065.59,Personal,7.43,36,10/3/2022,Rejected,1509,MasterCard,6211.25,3854.82,192.74,2/28/2023,6/20/2023,2461,1509,5/12/2023,Suggestion,Resolved,8/12/2023,1
1509,Nancy,Green,26,Female,Address_1510,Memphis,19458797267,nancy.green@kag.com,Savings,1376.92,6/22/2013,7/13/2023,1510,10/6/2023,Deposit,341.81,1718.73,58,1510,29990.23,Auto,8.54,24,3/12/2020,Closed,1510,MasterCard,8494.93,3032.19,151.61,10/16/2023,3/1/2023,3107,1510,12/9/2023,Complaint,Pending,10/3/2023,1
1510,Brian,Thomas,39,Male,Address_1511,Memphis,19458796454,brian.thomas@kag.com,Savings,9101.69,1/23/2000,7/4/2023,1511,8/28/2023,Withdrawal,1122.11,10223.8,18,1511,26991.68,Mortgage,7.72,60,7/28/2020,Approved,1511,MasterCard,1835.76,937.23,46.86,4/3/2023,4/25/2023,4028,1511,6/15/2023,Praise,Pending,8/26/2023,1
